DateTime,V,VX,VY,DIR,TP,RH,SLP
2018-03-11-22:00:00,1.04001,0.65551,-0.73373,318.22266,272.23459,90.94933,1015.09583
2018-03-11-23:00:00,1.05432,0.46863,-0.88227,332.02417,273.49377,86.21074,1015.02545
2018-03-12-00:00:00,0.64617,0.23948,-0.60016,338.24661,274.09888,84.69574,1014.87811
2018-03-12-01:00:00,0.72042,-0.0489,-0.19912,13.79771,276.48148,75.58207,1014.38293
2018-03-12-02:00:00,0.79466,-0.33728,0.20191,120.90629,278.86411,66.4684,1013.8877
2018-03-12-03:00:00,0.86891,-0.62566,0.60294,133.94055,281.2467,57.35472,1013.39252
2018-03-12-04:00:00,1.39534,-0.36249,1.2162,163.40318,282.89798,54.00772,1012.14941
2018-03-12-05:00:00,1.92177,-0.09932,1.82945,176.89258,284.54929,50.66072,1010.90625
2018-03-12-06:00:00,2.4482,0.16386,2.44271,183.83762,286.20056,47.31372,1009.66315
2018-03-12-07:00:00,2.31413,0.11169,2.31047,182.76749,286.38986,48.23452,1009.22504
2018-03-12-08:00:00,2.18007,0.05952,2.17823,181.56516,286.57913,49.15532,1008.78687
2018-03-12-09:00:00,2.046,0.00735,2.04599,180.2058,286.76843,50.07612,1008.34875
2018-03-12-10:00:00,1.52163,-0.05469,1.21806,177.42896,285.66245,53.5459,1008.54022
2018-03-12-11:00:00,0.99726,-0.11674,0.39013,163.34131,284.55649,57.01567,1008.73163
2018-03-12-12:00:00,0.47289,-0.17878,-0.4378,22.21359,283.4505,60.48545,1008.9231
2018-03-12-13:00:00,0.94997,-0.00377,-0.91599,0.2357,280.84808,71.11885,1008.92725
2018-03-12-14:00:00,1.42706,0.17125,-1.39419,352.99762,278.24567,81.75224,1008.93146
2018-03-12-15:00:00,1.90414,0.34626,-1.87239,349.52274,275.64325,92.38564,1008.93561
2018-03-12-16:00:00,2.09082,0.24256,-2.06957,353.31525,275.50732,91.51281,1008.89642
2018-03-12-17:00:00,2.2775,0.13886,-2.26675,356.49438,275.3714,90.63998,1008.8573
2018-03-12-18:00:00,2.46418,0.03517,-2.46393,359.18231,275.23547,89.76714,1008.81812
2018-03-12-19:00:00,2.31628,0.17805,-2.29813,355.56982,274.85623,90.17859,1008.49017
2018-03-12-20:00:00,2.16837,0.32093,-2.13232,351.44073,274.47696,90.59003,1008.16229
2018-03-12-21:00:00,2.02047,0.46382,-1.96651,346.72888,274.09772,91.00147,1007.83435
2018-03-12-22:00:00,1.78163,0.45527,-1.72038,345.17737,275.34451,87.44124,1008.23938
2018-03-12-23:00:00,1.54279,0.44673,-1.47426,343.14218,276.59128,83.881,1008.64435
2018-03-13-00:00:00,1.65936,0.36842,-1.61794,347.17194,277.82538,79.30241,1008.96753
2018-03-13-01:00:00,1.39293,-0.02983,-0.99912,1.71013,281.33026,68.8149,1008.98999
2018-03-13-02:00:00,1.1265,-0.42808,-0.3803,48.38258,284.83514,58.32737,1009.01251
2018-03-13-03:00:00,0.86007,-0.82633,0.23852,106.10055,288.34003,47.83985,1009.03497
2018-03-13-04:00:00,1.3383,-0.83941,0.86744,135.94069,289.85654,44.53906,1008.25519
2018-03-13-05:00:00,1.81654,-0.85249,1.49636,150.32944,291.37308,41.23827,1007.4754
2018-03-13-06:00:00,2.29478,-0.86556,2.12527,157.84032,292.88959,37.93748,1006.69562
2018-03-13-07:00:00,2.05365,-0.61213,1.93947,162.48355,292.56885,42.7462,1006.48914
2018-03-13-08:00:00,1.81252,-0.35869,1.75367,168.44044,292.24811,47.55492,1006.28271
