DateTime,SPD10,DIR10,SLP,T2,RH2
2018-03-13-02:00:00,2.08,5,1006,283.35,42
2018-03-13-03:00:00,1.63,344,1005.7,286.95,33
2018-03-13-04:00:00,0.84,208,1004.9,287.95,30
2018-03-13-05:00:00,1.13,276,1004.3,290.05,26
2018-03-13-06:00:00,1.78,153,1003.3,290.25,25
2018-03-13-07:00:00,2.61,168,1002.8,291.25,24
2018-03-13-08:00:00,2.59,137,1002.7,291.85,23
2018-03-13-09:00:00,1.9,198,1002.8,291.95,23
2018-03-13-10:00:00,2.09,127,1003.3,291.55,24
2018-03-13-11:00:00,1.54,75,1003.7,288.05,30
2018-03-13-12:00:00,1.58,114,1004.6,287.15,33
2018-03-13-13:00:00,1.68,89,1005.1,286.45,36
2018-03-13-14:00:00,1.19,39,1005.3,283.95,43
2018-03-13-15:00:00,0.3,232,1005.4,284.95,44
2018-03-13-16:00:00,0.6,28,1005.7,282.65,48
2018-03-13-17:00:00,0.44,49,1006.1,283.65,49
2018-03-13-18:00:00,4.03,108,1006.7,283.55,63
2018-03-13-19:00:00,1.78,142,1006,283.15,68
2018-03-13-20:00:00,1.22,126,1005.5,282.45,72
2018-03-13-21:00:00,1.79,279,1005.5,282.55,73
2018-03-13-22:00:00,2.08,173,1005.6,283.15,71
2018-03-13-23:00:00,1.07,103,1006.1,282.05,73
2018-03-14-00:00:00,2.56,125,1006.3,282.35,71
2018-03-14-01:00:00,1.29,104,1006.5,282.95,69
2018-03-14-02:00:00,2.73,157,1006,284.25,62
2018-03-14-03:00:00,3.2,124,1005.9,286.05,57
2018-03-14-04:00:00,2.92,93,1005,286.95,54
2018-03-14-05:00:00,3.83,113,1004.2,287.05,54
2018-03-14-06:00:00,4.15,81,1003.4,287.55,52
2018-03-14-07:00:00,3.13,129,1002.8,287.55,53
2018-03-14-08:00:00,2.73,107,1002.7,287.55,53
2018-03-14-09:00:00,1.47,91,1002.6,287.65,54
2018-03-14-10:00:00,1.53,352,1003,287.65,54
2018-03-14-11:00:00,1.04,11,1002.9,287.05,56
2018-03-14-12:00:00,2.06,327,1004,285.45,60
2018-03-14-13:00:00,1.5,346,1004.9,285.25,62
2018-03-14-14:00:00,4.19,301,1005.8,285.65,62
2018-03-14-15:00:00,3.9,350,1006.6,285.35,65
2018-03-14-16:00:00,5.86,24,1007.8,286.55,52
2018-03-14-17:00:00,7.76,29,1008.7,287.55,28
2018-03-14-18:00:00,10.4,5,1010.4,286.45,26
2018-03-14-19:00:00,7.76,18,1012.3,285.35,27
2018-03-14-20:00:00,8.31,33,1013.7,284.35,28
2018-03-14-21:00:00,8.82,27,1015,283.25,29
2018-03-14-22:00:00,8.05,19,1017.3,282.45,28
2018-03-14-23:00:00,8.6,24,1019,281.15,27
2018-03-15-00:00:00,9.42,24,1020.6,280.65,22
2018-03-15-01:00:00,11.22,17,1021.8,280.55,15
2018-03-15-02:00:00,10.79,19,1022.7,282.35,11
2018-03-15-03:00:00,9.64,12,1023.1,281.75,11
2018-03-15-04:00:00,8.61,26,1023.1,283.75,9
2018-03-15-05:00:00,8.49,28,1023,283.75,9
2018-03-15-06:00:00,4.53,48,1022.5,284.55,9
2018-03-15-07:00:00,7.34,51,1022.1,285.65,8
2018-03-15-08:00:00,8.18,40,1021.9,285.65,7
2018-03-15-09:00:00,6.2,62,1022.4,285.05,9
