DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-12-00:00:00,1.59000,304.00000,1011.40000,276.45000,49.00000,266.73000
2018-03-12-01:00:00,1.30000,316.00000,1011.40000,278.35000,43.00000,266.77000
2018-03-12-02:00:00,0.94000,343.00000,1010.70000,280.45000,36.00000,266.35000
2018-03-12-03:00:00,1.03000,3.00000,1009.90000,282.05000,32.00000,266.24000
2018-03-12-04:00:00,1.54000,194.00000,1008.90000,282.95000,31.00000,266.62000
2018-03-12-05:00:00,1.44000,81.00000,1007.90000,283.75000,30.00000,266.90000
2018-03-12-06:00:00,2.03000,150.00000,1006.60000,284.35000,31.00000,267.86000
2018-03-12-07:00:00,3.44000,138.00000,1005.90000,285.05000,34.00000,269.72000
2018-03-12-08:00:00,3.35000,158.00000,1005.30000,285.45000,34.00000,270.08000
2018-03-12-09:00:00,3.40000,162.00000,1005.20000,285.35000,36.00000,270.76000
2018-03-12-10:00:00,2.78000,163.00000,1005.60000,284.75000,38.00000,270.95000
2018-03-12-11:00:00,2.62000,142.00000,1005.90000,284.85000,39.00000,271.40000
2018-03-12-12:00:00,2.27000,90.00000,1006.30000,281.75000,50.00000,271.94000
2018-03-12-13:00:00,2.08000,124.00000,1006.50000,281.75000,51.00000,272.21000
2018-03-12-14:00:00,1.76000,111.00000,1006.20000,281.05000,54.00000,272.33000
2018-03-12-15:00:00,0.88000,108.00000,1006.30000,280.35000,60.00000,273.12000
2018-03-12-16:00:00,1.50000,12.00000,1006.10000,277.65000,65.00000,271.65000
2018-03-12-17:00:00,0.68000,60.00000,1005.90000,277.05000,67.00000,271.48000
2018-03-12-18:00:00,1.24000,357.00000,1005.90000,276.75000,68.00000,271.40000
2018-03-12-19:00:00,1.99000,3.00000,1005.50000,276.15000,67.00000,270.62000
2018-03-12-20:00:00,1.76000,320.00000,1005.30000,275.75000,66.00000,270.03000
2018-03-12-21:00:00,2.05000,334.00000,1005.20000,275.55000,67.00000,270.04000
2018-03-12-22:00:00,2.91000,336.00000,1005.10000,275.75000,68.00000,270.43000
2018-03-12-23:00:00,2.49000,344.00000,1005.40000,275.35000,70.00000,270.44000
2018-03-13-00:00:00,2.84000,348.00000,1005.80000,277.75000,62.00000,271.10000
2018-03-13-01:00:00,1.96000,335.00000,1006.20000,281.05000,50.00000,271.28000
2018-03-13-02:00:00,2.08000,5.00000,1006.00000,283.35000,42.00000,271.04000
2018-03-13-03:00:00,1.63000,344.00000,1005.70000,286.95000,33.00000,271.02000
2018-03-13-04:00:00,0.84000,208.00000,1004.90000,287.95000,30.00000,270.61000
2018-03-13-05:00:00,1.13000,276.00000,1004.30000,290.05000,26.00000,270.52000
2018-03-13-06:00:00,1.78000,153.00000,1003.30000,290.25000,25.00000,270.16000
2018-03-13-07:00:00,2.61000,168.00000,1002.80000,291.25000,24.00000,270.47000
2018-03-13-08:00:00,2.59000,137.00000,1002.70000,291.85000,23.00000,270.41000
2018-03-13-09:00:00,1.90000,198.00000,1002.80000,291.95000,23.00000,270.50000
2018-03-13-10:00:00,2.09000,127.00000,1003.30000,291.55000,24.00000,270.73000
2018-03-13-11:00:00,1.54000,75.00000,1003.70000,288.05000,30.00000,270.70000
2018-03-13-12:00:00,1.58000,114.00000,1004.60000,287.15000,33.00000,271.19000
